,Churn
369,No
4368,No
1869,No
86,No
6401,No
4399,No
1145,Yes
1831,Yes
4048,No
2042,No
1750,No
4569,No
5214,No
4551,No
927,No
6014,No
3839,No
6902,No
5312,No
6055,Yes
2282,Yes
184,Yes
6765,No
908,Yes
5094,No
2778,No
1003,Yes
235,Yes
434,No
4602,Yes
2802,No
1516,No
659,Yes
5906,No
2713,No
5136,No
1539,No
3884,No
944,No
3343,Yes
911,No
4560,No
2884,No
6868,No
4799,No
3118,No
6102,No
5707,No
5380,No
1547,No
3411,No
529,No
5016,No
3172,No
3775,No
5769,No
3976,Yes
2169,No
2618,No
986,No
2897,No
1170,No
5121,No
2737,No
980,Yes
6976,No
1214,Yes
932,No
2554,No
928,No
6389,Yes
3693,No
2056,Yes
6142,Yes
3393,No
1983,Yes
4471,No
3143,No
2911,No
3284,No
115,No
4664,No
1233,No
1710,No
3733,No
1213,No
2487,Yes
3820,No
1398,No
1993,Yes
6069,No
5290,Yes
844,No
6912,No
5586,No
4590,No
351,No
6957,Yes
3581,Yes
756,Yes
1582,No
4316,Yes
6455,No
6363,No
3752,No
3689,No
2977,No
2909,No
4395,No
5827,No
7002,No
5992,No
4903,No
1603,No
441,No
5148,No
5702,Yes
694,No
5984,No
1641,No
6786,No
106,No
3377,Yes
6441,No
1938,No
472,No
898,No
2227,No
478,Yes
6256,No
4772,No
4639,No
4379,No
2422,Yes
1112,No
5041,Yes
207,Yes
3067,No
6272,No
3481,No
5204,No
4300,Yes
3035,Yes
2961,No
3656,Yes
1557,No
4803,Yes
989,No
5849,No
1729,Yes
1362,No
1714,No
129,No
4766,No
240,No
5373,No
5431,No
2193,No
6911,No
6232,Yes
5034,No
4859,No
6606,No
6463,No
3287,No
4190,No
4831,Yes
2097,No
5113,No
4568,No
400,No
208,Yes
3325,Yes
6690,No
1722,No
291,No
1399,No
6412,No
6842,Yes
32,No
1810,No
1397,Yes
6673,No
516,No
4918,No
142,No
3050,Yes
2811,No
4001,No
4490,No
881,No
2248,No
3150,No
4281,Yes
4208,No
4209,No
2048,Yes
204,No
6277,No
6465,No
1409,No
3358,Yes
4464,No
599,No
6735,Yes
2366,No
6172,No
2549,No
4359,No
2403,No
3598,No
2491,No
6933,No
4319,Yes
2176,No
197,No
3347,No
3242,No
3160,No
3671,No
5266,Yes
5429,Yes
627,No
6575,No
5112,Yes
703,No
57,No
169,No
5122,Yes
2718,No
6675,No
3682,No
4347,No
5536,No
1091,No
4745,Yes
5973,No
5517,No
3073,Yes
194,No
4798,No
1917,No
1527,No
4225,Yes
3014,Yes
2541,No
3433,Yes
6802,Yes
5844,No
289,Yes
5829,No
4566,No
1907,No
6251,No
2464,No
1481,Yes
1988,Yes
4538,Yes
6218,Yes
3417,Yes
4731,No
2801,No
629,Yes
6558,No
1735,No
3263,No
5896,No
1699,Yes
3977,No
6506,Yes
6317,No
3181,No
1861,No
259,No
5301,No
6212,No
3334,Yes
5471,No
5273,Yes
2941,No
5911,No
4290,No
723,Yes
6080,Yes
3265,No
2690,No
2119,Yes
387,No
2159,No
1086,No
2032,No
6897,Yes
1375,No
3354,Yes
244,No
1716,Yes
1155,Yes
5397,No
5294,No
3233,No
1454,No
1020,No
3941,No
1040,Yes
4005,Yes
3735,No
5040,No
2730,No
3410,No
6859,No
4401,No
6846,No
6320,No
600,No
1137,No
5402,Yes
3182,No
6340,No
6616,Yes
4304,Yes
2641,No
2384,No
5189,No
2312,No
1679,No
4222,No
6669,No
4494,Yes
886,No
3526,Yes
1363,No
761,No
5412,No
3079,No
4959,Yes
1236,No
1510,No
1371,Yes
4031,No
1597,Yes
6607,Yes
4992,No
4111,No
1795,No
779,No
4781,Yes
5665,No
141,Yes
5675,Yes
3277,No
775,Yes
6753,Yes
4497,No
1967,No
3387,No
721,Yes
2932,No
1588,No
5295,No
6631,No
5407,No
502,No
6216,No
6622,No
4924,No
4068,No
930,No
6686,No
1561,No
3618,No
810,No
3904,Yes
4504,No
3499,No
6149,No
360,No
4596,No
2838,No
2525,No
6898,No
7014,No
6144,No
2078,Yes
4334,Yes
2598,No
7019,No
6982,Yes
3962,No
1263,No
3189,Yes
6834,No
1549,No
5756,Yes
938,No
1188,Yes
2733,No
4428,No
3595,No
5986,No
3567,No
1464,Yes
5019,Yes
4898,No
6705,No
5549,No
5056,Yes
1126,No
3529,No
1571,No
1984,No
4409,Yes
348,No
4529,No
103,No
1936,No
2425,No
6826,No
6022,No
4060,No
3454,No
5159,No
5948,Yes
4200,No
4980,No
2003,Yes
3761,No
419,Yes
6487,Yes
2719,No
5385,No
172,No
1310,Yes
3622,No
2586,No
5139,No
4246,No
4296,No
1088,No
5899,Yes
2073,No
5679,No
5073,No
5343,No
1507,No
3855,No
5904,No
1973,No
41,No
5216,No
5558,No
732,No
6475,No
5491,No
6288,No
6874,Yes
333,Yes
1357,Yes
5836,Yes
1665,Yes
1742,Yes
3487,No
522,Yes
724,No
4389,No
4901,No
4155,No
4764,No
6751,Yes
5239,No
3765,Yes
538,No
3444,No
471,Yes
592,No
3239,No
1488,No
97,Yes
4400,No
5584,No
1851,Yes
6731,Yes
2200,No
3662,No
4896,No
5623,No
143,No
550,No
3531,No
4327,No
3317,Yes
4860,Yes
2393,No
6520,Yes
2463,Yes
6047,No
1392,No
1808,No
2989,No
5319,No
3310,No
1131,No
3173,Yes
5723,No
6449,No
6053,No
5935,Yes
3832,No
96,No
2268,No
7028,No
6042,No
5645,No
4136,Yes
1171,No
1935,No
707,No
6368,Yes
2033,Yes
4186,No
40,No
1351,No
3346,Yes
2207,No
5477,No
3889,No
3379,Yes
682,No
1537,No
4059,No
442,No
5107,No
786,No
1709,No
2314,No
3297,Yes
874,Yes
5481,No
3534,No
189,No
6764,No
5383,No
65,No
660,No
5833,No
5563,No
90,No
4236,No
1480,Yes
5614,No
2091,Yes
3851,No
2493,No
5306,Yes
4445,Yes
4777,Yes
3675,Yes
6329,No
2328,No
3420,Yes
6706,Yes
3071,Yes
4847,No
2532,No
4110,No
2987,No
1429,Yes
6234,No
4202,No
5652,No
1449,No
382,No
3479,Yes
4603,No
3054,No
4118,No
566,No
6672,No
5145,No
5828,No
6871,No
1958,No
3161,No
5917,No
3942,No
6076,Yes
1391,Yes
1032,No
5269,No
334,Yes
725,No
6265,No
3863,No
3840,No
4240,No
6071,Yes
5015,Yes
4583,No
3470,No
1891,No
6699,No
507,Yes
3574,Yes
5579,Yes
6698,Yes
3106,Yes
5686,No
3611,Yes
6127,No
1240,Yes
1276,No
2380,No
5480,No
4727,No
5410,No
6970,No
6869,No
191,Yes
939,No
1468,Yes
1296,No
6476,No
1798,No
4612,No
1380,No
2944,No
3823,Yes
186,No
1457,No
2591,No
3165,No
1390,Yes
3811,No
1381,No
815,No
1997,No
5374,Yes
1308,No
2969,Yes
1487,Yes
5913,No
5363,No
3862,No
4863,No
2874,Yes
760,Yes
4659,No
1552,No
2162,Yes
741,Yes
5788,No
5334,No
5101,No
5786,No
6909,No
2967,No
6538,No
4134,No
2625,No
3998,Yes
6640,No
466,No
450,No
6116,Yes
3266,Yes
6311,No
4933,Yes
3760,Yes
3115,No
1594,No
6351,Yes
4610,No
1968,No
6904,No
2,Yes
5859,No
582,No
910,No
3914,No
5212,No
5102,No
2035,No
6499,Yes
2306,No
3507,No
5953,No
3220,No
730,No
1668,Yes
4245,No
1486,No
1255,Yes
4483,No
5874,No
2126,No
6998,Yes
1342,No
5226,No
6988,Yes
4332,No
686,Yes
5964,No
5199,Yes
5682,No
4196,No
4057,No
6109,No
2789,No
51,Yes
4010,No
6038,No
1942,No
586,No
573,No
6112,No
983,No
3527,No
6167,Yes
4509,Yes
3013,No
2628,No
5589,No
3846,No
5022,Yes
2062,No
635,No
6507,Yes
5223,No
6955,No
6066,No
4705,No
6717,No
4104,No
3361,No
4535,No
4964,No
5080,No
1474,No
2696,No
2445,No
2663,Yes
5994,No
6840,No
4369,No
1340,No
6282,No
960,No
1784,No
5745,No
1283,No
3553,No
999,No
69,No
5242,Yes
6015,Yes
6394,No
6770,Yes
1974,No
2165,No
6456,No
3378,Yes
2011,Yes
3790,Yes
2428,No
5752,No
1318,No
4339,No
5051,Yes
5909,No
2852,No
4094,No
1230,No
6180,No
6020,No
3773,Yes
5250,No
6566,No
1254,No
2413,No
173,Yes
2135,Yes
3931,No
6501,No
5809,No
2012,No
5336,Yes
3503,No
5528,No
4207,Yes
3502,No
1629,No
157,No
1899,Yes
6380,No
6223,Yes
1410,No
4357,No
42,No
6246,No
5566,No
2134,No
1913,No
280,No
6370,Yes
4440,Yes
140,No
6220,No
2839,Yes
4819,Yes
2116,No
1637,No
4949,No
5671,Yes
3447,No
6194,No
3083,No
5808,Yes
4892,Yes
1867,No
3766,Yes
4358,No
282,No
2123,No
206,No
3116,Yes
2655,No
7017,No
5065,No
5166,Yes
3865,No
6798,Yes
3179,No
848,No
2508,No
6572,No
4238,No
5289,No
2113,No
2342,No
6262,No
5544,Yes
2542,No
4673,Yes
3295,No
417,No
5677,Yes
4230,Yes
6003,Yes
3680,Yes
3668,Yes
6443,No
3272,No
2117,No
3476,No
1675,No
1536,No
457,No
4515,No
1928,No
4741,Yes
5193,No
5656,No
1747,No
4675,No
5672,No
6089,No
4095,No
2103,No
6925,Yes
4312,No
1376,No
5983,Yes
4099,Yes
3492,Yes
5728,No
1687,No
764,No
5631,Yes
6777,No
6642,No
3008,No
5978,No
6971,No
3607,No
1592,No
3426,No
2523,Yes
2716,Yes
5405,Yes
780,No
6608,No
79,No
4166,No
4979,No
4055,Yes
530,No
4292,No
4755,No
851,No
5630,No
5281,No
5522,No
274,Yes
2495,No
2651,No
7031,No
4026,No
2847,No
3190,No
2569,Yes
1197,No
6422,No
879,No
1420,No
356,No
572,Yes
1745,No
3205,No
4518,No
2397,No
1649,No
1614,No
5317,Yes
5690,No
2071,No
3807,No
2559,Yes
5843,Yes
813,No
5976,No
3109,No
460,No
994,Yes
2197,Yes
2836,No
788,No
1817,Yes
1484,No
5945,No
5533,No
6610,No
1385,No
5565,No
3593,No
3848,No
305,No
3970,No
1618,No
2996,No
2921,No
2560,No
59,No
6832,Yes
2496,No
2828,No
247,Yes
3149,No
5692,No
6746,Yes
6896,Yes
1284,No
6564,No
565,No
4844,No
836,No
2309,No
368,No
6171,No
4088,No
4609,No
2848,No
698,No
1627,Yes
5427,No
1402,No
6844,No
1116,No
6758,No
121,No
5950,No
5761,No
2402,Yes
1223,No
6161,No
4244,No
1034,No
6454,No
4545,No
6950,Yes
6704,No
28,No
6217,No
3469,No
168,Yes
2408,No
6168,Yes
6104,No
3637,No
4377,No
2006,No
210,Yes
2259,No
2202,Yes
776,No
2365,No
2294,No
5901,No
3564,No
681,No
1981,No
4761,No
5058,No
5514,No
3133,Yes
2768,No
5489,Yes
158,No
3801,Yes
5461,No
991,No
5791,No
1119,No
5359,Yes
2649,Yes
4716,No
3661,No
4739,No
5774,Yes
2779,Yes
5327,No
2851,No
66,No
1320,Yes
1820,No
5181,No
1232,Yes
2815,No
1650,Yes
6730,Yes
4883,No
6121,No
2545,No
4198,No
3408,No
2040,No
3543,No
5366,Yes
588,No
2423,Yes
2986,No
2192,No
3717,No
3874,No
883,No
5253,No
4876,No
1139,No
2577,No
3024,Yes
1483,No
7004,No
4000,No
2936,No
4254,No
4521,No
6027,No
3359,No
5043,No
1066,No
4744,No
171,Yes
410,Yes
1652,No
4952,Yes
4391,No
4479,No
341,No
1661,No
4220,No
2509,Yes
1621,No
4192,Yes
753,Yes
1580,No
357,No
1587,Yes
4469,No
4004,No
5392,No
3891,No
2074,No
6404,Yes
4581,No
271,No
6830,No
4769,No
1770,No
2364,No
4862,No
6922,Yes
2082,Yes
1837,No
3148,No
151,Yes
3453,No
525,No
5508,No
6166,No
3187,No
904,No
3416,No
1589,No
513,No
4557,No
11,No
3646,Yes
861,Yes
5298,No
5561,No
4262,Yes
745,No
6687,No
2194,No
690,No
4092,No
6202,Yes
2132,No
4473,No
55,Yes
2605,Yes
5892,Yes
751,No
4157,No
5612,Yes
3395,No
4617,No
913,Yes
7000,Yes
104,Yes
6126,No
3917,Yes
4066,Yes
6590,Yes
3458,No
4534,No
6197,No
6595,No
4181,Yes
6221,No
5191,No
386,Yes
4105,No
1388,No
6748,No
6531,No
5530,No
5020,No
6158,No
692,Yes
2185,No
102,No
5762,No
2236,No
4116,No
5006,No
2266,No
5345,No
4559,No
214,No
3504,No
545,Yes
3258,No
604,No
5030,No
1496,No
3579,No
6387,No
2218,Yes
5798,No
3214,No
6700,No
6947,No
1990,Yes
5328,No
4589,Yes
1335,Yes
6029,Yes
6516,No
5972,No
1268,No
5871,Yes
742,No
622,No
3718,No
3964,Yes
2244,No
6579,No
3707,Yes
4922,No
504,Yes
5782,No
1071,No
5615,No
6143,Yes
6018,No
47,Yes
200,No
5937,Yes
1694,No
3461,Yes
4801,No
5111,No
3089,No
2231,No
3992,Yes
1431,Yes
2167,No
3070,No
6452,No
5887,No
3923,No
940,No
1595,Yes
2382,No
5668,No
2558,Yes
326,No
798,No
6818,No
4909,No
5488,Yes
2246,No
3142,No
6242,No
6845,No
1055,Yes
1779,Yes
4879,No
6692,No
3188,No
3406,No
3204,Yes
4442,Yes
5779,No
4087,No
1794,Yes
176,Yes
2656,No
426,No
1624,No
3868,Yes
1888,No
2481,No
3739,Yes
6808,Yes
4135,No
3431,No
1663,No
3056,Yes
3127,No
4433,No
2765,Yes
3396,Yes
4468,Yes
4972,No
4820,No
6550,No
5957,Yes
5045,No
1321,Yes
1373,No
4794,No
4721,No
5447,Yes
2999,Yes
680,No
1667,No
1438,No
5268,Yes
6551,No
2454,No
308,No
4692,No
6980,Yes
4737,No
4413,No
2881,No
2661,No
909,No
6787,No
4962,No
2738,No
4797,No
5646,No
4968,No
2304,No
4465,No
4346,Yes
4660,No
885,No
1796,No
4523,Yes
6133,Yes
734,No
2191,No
2276,Yes
3969,Yes
1713,No
5474,Yes
1186,No
2179,Yes
3835,No
4872,No
5194,No
3443,No
4759,No
1315,Yes
6200,No
6278,Yes
3558,No
4520,No
5865,Yes
399,No
1847,Yes
6263,No
4861,No
1914,Yes
149,No
3625,Yes
3223,No
2991,No
3843,No
2131,No
2959,No
2313,No
5713,Yes
5687,Yes
329,No
5592,No
1670,Yes
2420,No
923,No
6695,No
6376,Yes
6867,Yes
5523,No
1724,No
4715,Yes
2343,No
5382,No
6630,No
4383,No
3902,No
6030,Yes
4432,No
1226,No
696,Yes
546,No
3933,No
6044,No
5188,No
2252,No
6875,Yes
5424,No
577,No
2410,Yes
6919,Yes
6934,Yes
5552,No
6857,Yes
872,No
4436,Yes
789,No
3459,No
6004,No
4072,No
3331,No
6395,No
5133,No
506,Yes
2111,Yes
263,No
6960,Yes
1059,No
217,No
710,No
2740,Yes
5224,Yes
5330,No
4154,No
424,No
4818,Yes
6726,No
5310,No
2830,No
4696,No
4796,No
5910,No
5329,No
3424,No
190,No
4349,No
1540,No
1295,Yes
5095,No
1053,Yes
3636,No
6511,Yes
4013,No
3175,No
511,Yes
5364,No
915,No
655,No
23,No
2186,Yes
2467,No
1304,Yes
4810,No
2825,No
5991,No
2114,No
4288,No
5036,No
648,No
385,Yes
1485,No
484,Yes
5276,No
4870,No
3311,No
882,No
4947,Yes
5331,No
2355,No
5161,No
5738,No
6063,No
2888,Yes
4743,Yes
3289,Yes
2752,No
6870,No
3108,No
3496,No
1109,Yes
5463,No
834,No
1282,No
1299,No
6248,Yes
3135,No
4043,No
304,No
6756,No
3139,No
825,No
5220,Yes
620,No
3049,No
6215,No
4565,No
1960,Yes
610,Yes
3762,No
2755,No
674,No
2138,No
4414,No
2539,No
4954,No
1421,No
3021,Yes
5279,Yes
4350,No
4921,No
1184,No
3999,No
5023,No
856,No
3320,Yes
2004,No
4834,Yes
1906,No
6342,Yes
3063,No
6074,No
5670,Yes
6147,No
1934,No
4119,No
2939,No
3619,No
1684,No
3947,No
948,No
2692,No
3438,No
661,No
1669,No
2820,No
4867,Yes
30,No
1004,Yes
6479,Yes
270,Yes
6745,No
2833,No
5444,No
452,No
1773,No
4950,No
3562,No
2293,No
1306,Yes
4824,No
1017,No
4159,No
3920,Yes
6031,Yes
1068,Yes
2195,No
4825,No
1205,No
5091,Yes
6196,Yes
1359,No
5804,No
1978,No
2871,No
1525,Yes
2021,No
6799,Yes
3130,Yes
2960,Yes
1002,No
6348,Yes
1247,Yes
4869,No
2432,No
6070,No
3107,No
5259,No
3330,No
3123,No
182,Yes
6295,Yes
3193,No
6729,No
3168,No
4574,No
3565,No
3602,Yes
6041,No
2253,No
295,No
2453,No
4139,Yes
2638,Yes
6467,No
2728,No
4174,No
1788,No
4454,Yes
359,No
3954,No
823,Yes
2842,No
4927,No
5633,No
766,No
3186,No
5848,Yes
5164,No
4686,No
6509,Yes
6796,No
1143,No
4882,No
1951,No
7008,No
1101,No
2401,Yes
4421,No
6651,Yes
5557,No
1428,No
4963,No
5926,No
1290,Yes
1374,No
5061,Yes
3522,Yes
2371,No
0,No
2460,Yes
4002,No
1622,No
3945,No
4354,No
3932,Yes
2643,No
3759,No
5746,No
1369,No
3086,No
5694,No
2429,No
6689,No
2624,Yes
5650,No
4532,No
515,No
4498,No
5071,No
6187,No
5243,No
606,No
3006,No
1764,No
570,No
3732,No
2338,No
843,No
396,No
134,Yes
4435,No
2854,No
5337,No
6016,No
4303,No
5725,No
6163,Yes
4984,No
5772,No
3103,No
1830,No
2843,No
82,Yes
3375,No
5754,No
1149,No
2572,Yes
4631,No
2209,Yes
5258,No
3279,No
892,No
1141,No
328,No
5920,No
5683,No
6239,No
5743,No
4306,No
2298,Yes
5411,No
6712,No
6993,No
3316,No
1604,No
650,Yes
2144,No
3227,No
6357,No
4808,No
3951,Yes
3498,No
3199,No
719,No
2439,Yes
6075,No
2475,Yes
5270,No
784,No
5698,No
6338,No
264,No
4229,No
5575,Yes
4533,Yes
824,Yes
1494,No
6303,Yes
5856,No
1144,Yes
5721,No
771,Yes
3301,No
3853,No
1312,No
5005,No
4641,No
2026,No
2203,Yes
429,No
2741,No
4751,Yes
5367,No
4613,No
1825,No
1578,No
6178,No
5918,No
4102,Yes
2258,Yes
252,Yes
4662,No
6803,No
2198,No
2229,No
4268,No
5369,No
4295,No
2363,No
6058,No
2775,Yes
3844,No
3031,No
5067,No
5501,No
1386,No
4492,No
5898,No
4765,Yes
4564,No
2950,Yes
5026,No
4415,No
500,No
488,Yes
3875,No
3818,No
2412,No
1190,No
6052,No
1530,No
232,Yes
571,No
3545,Yes
3210,No
5660,No
403,No
4142,Yes
5903,Yes
6115,No
6639,No
858,No
6899,No
6596,Yes
1816,Yes
3769,Yes
5408,No
1302,Yes
6302,No
5773,Yes
4775,No
3645,No
4599,No
2782,No
5371,Yes
3687,No
3882,No
5134,No
6309,No
398,No
535,No
196,No
6852,No
4704,No
532,No
493,No
6462,No
5689,Yes
367,No
4266,Yes
2699,No
1840,No
6185,No
3414,No
2564,No
4475,No
4286,Yes
5347,No
3072,No
3421,No
2083,No
5003,No
6843,No
2374,Yes
3826,No
475,Yes
2920,No
5439,No
6860,No
5472,Yes
4280,Yes
4944,No
254,No
5217,No
6778,Yes
3489,Yes
1497,No
1199,No
4720,No
3044,Yes
3016,No
6620,No
5417,No
5349,No
842,Yes
1545,No
2865,No
5308,Yes
6722,No
3456,Yes
868,No
5104,Yes
6995,Yes
1855,No
6040,No
145,No
1023,Yes
6258,Yes
5597,No
1057,No
1631,No
1541,No
6503,No
4274,No
3159,No
5666,No
6837,No
4514,No
1245,Yes
6468,No
3810,No
6488,No
395,No
2568,Yes
5537,No
1271,No
5764,No
3905,No
6386,Yes
5057,No
6876,No
6084,No
4351,No
4888,No
1006,No
1424,No
6557,No
2360,No
1653,Yes
245,No
3253,No
5361,No
3950,No
1835,Yes
1183,No
1944,No
4795,No
3017,No
2633,Yes
5943,No
1049,No
1731,Yes
4484,No
2747,Yes
1680,No
3429,No
391,No
645,Yes
3570,No
4250,No
2807,Yes
6542,No
6328,No
2826,Yes
5201,No
5961,No
138,No
5007,No
888,No
5715,Yes
1158,No
1849,Yes
4885,Yes
3658,No
727,Yes
5934,Yes
2303,No
4983,Yes
5238,Yes
6940,No
859,No
3667,Yes
1673,No
5249,Yes
6213,No
5659,No
1554,No
6446,No
461,No
5763,No
6659,No
984,No
3333,No
6838,No
1638,No
978,No
6083,No
6829,No
1000,No
6929,No
5406,No
4916,Yes
1593,No
651,No
4212,No
3251,No
2953,No
3915,No
4008,No
6817,No
1160,No
6541,Yes
5732,Yes
230,No
6771,No
1775,Yes
6132,Yes
4342,Yes
6821,No
6697,No
1405,Yes
6073,Yes
